Path	Speed	Setup	First_Delay	First_Event
Limit	1	S9	WAIT	ORIENTATION_PORTRAIT
Limit	1	S10	NOT_WAIT	ORIENTATION_PORTRAIT
Limit	1	S2	WAIT	INTERNET_ON
Limit	1	S8	WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S12	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S1	NOT_WAIT	ORIENTATION_LANDSCAPE
Limit	1	S1	WAIT	GPS_OFF
Limit	1	S3	NOT_WAIT	GPS_CALIBRATED
Limit	1	S4	NOT_WAIT	INTERNET_ON
Limit	1	S7	WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S12	WAIT	INTERNET_OFF
Limit	1	S12	NOT_WAIT	ORIENTATION_PORTRAIT
Limit	1	S7	NOT_WAIT	GPS_NOT_CALIBRATED
Limit	1	S7	NOT_WAIT	INTERNET_OFF
Limit	1	S10	WAIT	TAKE_A_PICTURE
Limit	1	S4	NOT_WAIT	TAKE_A_PICTURE
Limit	1	S11	WAIT	INTERNET_ON
Limit	1	S1	WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S12	WAIT	RECEIVE_CALL
Limit	1	S1	WAIT	INTERNET_OFF
Limit	1	S3	WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S11	NOT_WAIT	TAKE_A_PICTURE
Limit	1	S6	NOT_WAIT	INTERNET_ON
Limit	1	S10	WAIT	GPS_CALIBRATED
Limit	1	S8	NOT_WAIT	GPS_NOT_CALIBRATED
Limit	1	S9	NOT_WAIT	GPS_CALIBRATED
Limit	1	S7	NOT_WAIT	ORIENTATION_PORTRAIT
Limit	1	S4	WAIT	RECEIVE_CALL
Limit	1	S10	NOT_WAIT	RECEIVE_CALL
Limit	1	S4	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S3	NOT_WAIT	RECEIVE_CALL
Limit	1	S5	WAIT	RECEIVE_CALL
Limit	1	S3	WAIT	ORIENTATION_LANDSCAPE
Limit	1	S10	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S10	NOT_WAIT	INTERNET_OFF
Limit	1	S8	NOT_WAIT	ORIENTATION_PORTRAIT
Limit	1	S3	NOT_WAIT	GPS_OFF
Limit	1	S12	WAIT	TAKE_A_PICTURE
Limit	1	S1	WAIT	GPS_NOT_CALIBRATED
Limit	1	S8	WAIT	GPS_OFF
Limit	1	S2	NOT_WAIT	GPS_OFF
Limit	1	S2	NOT_WAIT	RECEIVE_CALL
Limit	1	S11	WAIT	GPS_ON
Limit	1	S7	NOT_WAIT	GPS_OFF
Limit	1	S6	WAIT	ORIENTATION_LANDSCAPE
Limit	1	S5	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S2	NOT_WAIT	GPS_NOT_CALIBRATED
Limit	1	S9	WAIT	INTERNET_ON
Limit	1	S11	WAIT	RECEIVE_CALL
Limit	1	S2	WAIT	TAKE_A_PICTURE
Limit	1	S6	NOT_WAIT	TAKE_A_PICTURE
Limit	1	S11	NOT_WAIT	ORIENTATION_PORTRAIT
Limit	1	S1	WAIT	RECEIVE_CALL
Limit	1	S6	NOT_WAIT	GPS_CALIBRATED
Limit	1	S8	WAIT	TAKE_A_PICTURE
Limit	1	S2	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S7	NOT_WAIT	TAKE_A_PICTURE
Limit	1	S4	NOT_WAIT	ORIENTATION_LANDSCAPE
Limit	1	S8	WAIT	RECEIVE_CALL
Limit	1	S11	WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S1	NOT_WAIT	TAKE_A_PICTURE
Limit	1	S5	WAIT	ORIENTATION_LANDSCAPE
Limit	1	S12	NOT_WAIT	GPS_ON
Limit	1	S9	NOT_WAIT	RECEIVE_CALL
Limit	1	S9	WAIT	TAKE_A_PICTURE
Limit	1	S4	NOT_WAIT	GPS_OFF
Limit	1	S5	NOT_WAIT	TAKE_A_PICTURE
Limit	1	S7	WAIT	RECEIVE_CALL
Limit	1	S3	NOT_WAIT	INTERNET_OFF
Limit	1	S6	WAIT	GPS_OFF
Limit	1	S9	WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S6	WAIT	RECEIVE_CALL
Limit	1	S10	WAIT	GPS_OFF
Limit	1	S3	NOT_WAIT	TAKE_A_PICTURE
Limit	1	S5	NOT_WAIT	GPS_ON
Limit	1	S5	NOT_WAIT	INTERNET_OFF
Limit	1	S9	NOT_WAIT	GPS_OFF
Limit	1	S6	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S8	NOT_WAIT	INTERNET_ON
Limit	1	S4	WAIT	GPS_CALIBRATED
Limit	1	S2	NOT_WAIT	ORIENTATION_LANDSCAPE
