Path    Speed   Setup   First_Delay     First_event
Small   5       S8      NOT_WAIT ORIENTATION_PORTRAIT
Small   5       S11     WAIT   RECEIVE_CALL
Small   5       S2      WAIT   SIMULATE_LONG_BACKGROUND
Small   5       S9      NOT_WAIT INTERNET_ON
Small   5       S5      NOT_WAIT INTERNET_OFF
Small   5       S5      WAIT   TAKE_A_PICTURE
Small   5       S10     NOT_WAIT ORIENTATION_PORTRAIT
Small   5       S6      WAIT   ORIENTATION_LANDSCAPE
Small   5       S9      NOT_WAIT RECEIVE_CALL
Small   5       S12     WAIT   INTERNET_OFF
Small   5       S7      NOT_WAIT ORIENTATION_PORTRAIT
Small   5       S4      WAIT   ORIENTATION_LANDSCAPE
Small   5       S8      WAIT   TAKE_A_PICTURE
Small   5       S3      WAIT   INTERNET_OFF
Small   5       S4      WAIT   SIMULATE_LONG_BACKGROUND
Small   5       S3      WAIT   GPS_CALIBRATED
Small   5       S4      WAIT   GPS_CALIBRATED
Small   5       S4      NOT_WAIT GPS_OFF
Small   5       S11     WAIT   TAKE_A_PICTURE
Small   5       S1      NOT_WAIT RECEIVE_CALL
Small   5       S1      WAIT   GPS_OFF
Small   5       S8      NOT_WAIT GPS_NOT_CALIBRATED
Small   5       S1      WAIT   TAKE_A_PICTURE
Small   5       S11     NOT_WAIT GPS_ON
Small   5       S2      NOT_WAIT GPS_NOT_CALIBRATED
Small   5       S12     NOT_WAIT SIMULATE_LONG_BACKGROUND
Small   5       S2      NOT_WAIT TAKE_A_PICTURE
Small   5       S11     NOT_WAIT SIMULATE_LONG_BACKGROUND
Small   5       S7      WAIT   GPS_OFF
Small   5       S7      NOT_WAIT SIMULATE_LONG_BACKGROUND
Perfect 80      S11     NOT_WAIT INTERNET_ON
Perfect 80      S1      WAIT   GPS_NOT_CALIBRATED
Perfect 80      S4      NOT_WAIT TAKE_A_PICTURE
Perfect 80      S10     WAIT   INTERNET_OFF
Perfect 80      S8      WAIT   SIMULATE_LONG_BACKGROUND
Perfect 80      S6      WAIT   GPS_CALIBRATED
Perfect 80      S12     NOT_WAIT GPS_ON
Perfect 80      S5      NOT_WAIT ORIENTATION_LANDSCAPE
Perfect 80      S10     NOT_WAIT TAKE_A_PICTURE
Perfect 80      S9      WAIT   GPS_CALIBRATED
Perfect 80      S9      NOT_WAIT GPS_OFF
Perfect 80      S7      WAIT   TAKE_A_PICTURE
Perfect 80      S2      NOT_WAIT GPS_OFF
Perfect 80      S12     WAIT   ORIENTATION_PORTRAIT
Perfect 80      S3      WAIT   ORIENTATION_LANDSCAPE
Perfect 80      S9      WAIT   RECEIVE_CALL
Limit   80      S9      WAIT   ORIENTATION_PORTRAIT
Limit   80      S3      NOT_WAIT GPS_OFF
Limit   80      S10     WAIT   SIMULATE_LONG_BACKGROUND
Limit   80      S8      NOT_WAIT RECEIVE_CALL
Limit   80      S2      WAIT   INTERNET_ON
Limit   80      S6      NOT_WAIT TAKE_A_PICTURE
Limit   80      S12     WAIT   TAKE_A_PICTURE
Limit   80      S4      WAIT   INTERNET_ON
Limit   80      S5      NOT_WAIT ORIENTATION_LANDSCAPE
Limit   80      S7      WAIT   INTERNET_OFF
Limit   80      S9      WAIT   GPS_CALIBRATED
Limit   80      S1      WAIT   GPS_NOT_CALIBRATED
Limit   80      S11     WAIT   GPS_ON
Long    1000    S3      WAIT   TAKE_A_PICTURE
Long    1000    S10     NOT_WAIT GPS_CALIBRATED
Long    1000    S6      NOT_WAIT RECEIVE_CALL
Long    1000    S8      WAIT   INTERNET_ON
Long    1000    S1      NOT_WAIT SIMULATE_LONG_BACKGROUND
Long    1000    S12     NOT_WAIT ORIENTATION_PORTRAIT
Long    1000    S9      NOT_WAIT SIMULATE_LONG_BACKGROUND
Long    1000    S10     WAIT   RECEIVE_CALL
Long    1000    S9      NOT_WAIT TAKE_A_PICTURE
Long    1000    S2      NOT_WAIT RECEIVE_CALL
Long    1000    S4      WAIT   RECEIVE_CALL
Long    1000    S11     NOT_WAIT ORIENTATION_PORTRAIT
Long    1000    S2      NOT_WAIT ORIENTATION_LANDSCAPE
Long    1000    S6      WAIT   GPS_OFF
Long    1000    S5      WAIT   GPS_ON
Long    1000    S7      WAIT   INTERNET_OFF
Long    1000    S7      NOT_WAIT GPS_NOT_CALIBRATED
Long    1000    S5      WAIT   SIMULATE_LONG_BACKGROUND
Long    1000    S12     NOT_WAIT RECEIVE_CALL
Long    1000    S6      WAIT   INTERNET_ON
Long    1000    S10     NOT_WAIT GPS_OFF
Long    1000    S6      NOT_WAIT SIMULATE_LONG_BACKGROUND
Long    1000    S1      WAIT   INTERNET_OFF
Long    1000    S5      WAIT   RECEIVE_CALL
Long    1000    S3      NOT_WAIT RECEIVE_CALL
Long    1000    S1      NOT_WAIT ORIENTATION_LANDSCAPE
Long    1000    S3      WAIT   SIMULATE_LONG_BACKGROUND
Long    1000    S7      WAIT   RECEIVE_CALL
Long    1000    S8      WAIT   GPS_OFF
