Path	Speed	Setup	First_Delay	First_event	Second_Delay	Second_Event
Small	5	S1	WAIT	INTERNET_OFF	NOT_WAIT	TAKE_A_PICTURE
Small	5	S10	NOT_WAIT	RECEIVE_CALL	WAIT	ORIENTATION_PORTRAIT
Small	5	S12	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	RECEIVE_CALL
Small	5	S9	NOT_WAIT	RECEIVE_CALL	NOT_WAIT	ACCEPT_CALL
Small	5	S7	WAIT	GPS_OFF	NOT_WAIT	GPS_ON
Small	5	S8	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Small	5	S2	NOT_WAIT	TAKE_A_PICTURE	WAIT	GPS_NOT_CALIBRATED
Small	5	S11	NOT_WAIT	INTERNET_ON	WAIT	INTERNET_OFF
Small	5	S3	NOT_WAIT	GPS_CALIBRATED	WAIT	GPS_OFF
Small	5	S4	WAIT	RECEIVE_CALL	NOT_WAIT	CANCEL_CALL
Small	5	S5	NOT_WAIT	GPS_ON	NOT_WAIT	RECEIVE_CALL
Small	5	S9	WAIT	SIMULATE_LONG_BACKGROUND	WAIT	GPS_CALIBRATED
Small	5	S6	NOT_WAIT	INTERNET_ON	NOT_WAIT	INTERNET_OFF
Small	5	S6	NOT_WAIT	ORIENTATION_LANDSCAPE	WAIT	TAKE_A_PICTURE
Small	5	S10	WAIT	ORIENTATION_PORTRAIT	WAIT	TAKE_A_PICTURE
Small	5	S6	WAIT	TAKE_A_PICTURE	WAIT	ORIENTATION_LANDSCAPE
Small	5	S5	WAIT	INTERNET_OFF	WAIT	INTERNET_ON
Small	5	S9	WAIT	GPS_OFF	WAIT	GPS_ON
Small	5	S4	NOT_WAIT	TAKE_A_PICTURE	WAIT	GPS_CALIBRATED
Small	5	S6	NOT_WAIT	RECEIVE_CALL	WAIT	INTERNET_ON
Small	5	S9	NOT_WAIT	GPS_CALIBRATED	NOT_WAIT	INTERNET_ON
Small	5	S5	WAIT	GPS_ON	WAIT	GPS_CALIBRATED
Small	5	S4	WAIT	ORIENTATION_LANDSCAPE	WAIT	ORIENTATION_PORTRAIT
Small	5	S2	WAIT	INTERNET_ON	WAIT	GPS_OFF
Small	5	S10	WAIT	TAKE_A_PICTURE	WAIT	INTERNET_OFF
Small	5	S5	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	ORIENTATION_PORTRAIT
Small	5	S1	NOT_WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	INTERNET_OFF
Small	5	S7	WAIT	GPS_NOT_CALIBRATED	WAIT	TAKE_A_PICTURE
Small	5	S11	WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	GPS_ON
Small	5	S1	NOT_WAIT	GPS_NOT_CALIBRATED	WAIT	ORIENTATION_LANDSCAPE
Small	5	S6	WAIT	RECEIVE_CALL	NOT_WAIT	GPS_CALIBRATED
Small	5	S7	WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	INTERNET_OFF
Small	5	S10	WAIT	INTERNET_OFF	WAIT	SIMULATE_LONG_BACKGROUND
