Path	Speed	Setup	First_Delay	First_Event
Long	2	S9	WAIT	ORIENTATION_PORTRAIT
Limit	1	S8	NOT_WAIT	ORIENTATION_PORTRAIT
Perfect	3	S11	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Small	4	S9	WAIT	SIMULATE_LONG_BACKGROUND
Perfect	3	S8	WAIT	GPS_NOT_CALIBRATED
Long	2	S6	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S1	WAIT	TAKE_A_PICTURE
Limit	1	S4	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Perfect	3	S6	WAIT	GPS_OFF
Perfect	3	S9	NOT_WAIT	GPS_CALIBRATED
Small	4	S6	NOT_WAIT	RECEIVE_CALL
Long	2	S2	WAIT	RECEIVE_CALL
Small	4	S2	NOT_WAIT	GPS_NOT_CALIBRATED
Long	2	S7	NOT_WAIT	TAKE_A_PICTURE
Perfect	3	S10	WAIT	INTERNET_OFF
Small	4	S11	WAIT	ORIENTATION_PORTRAIT
Perfect	3	S2	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Small	4	S7	NOT_WAIT	GPS_OFF
Long	2	S4	WAIT	GPS_OFF
Small	4	S2	WAIT	TAKE_A_PICTURE
Limit	1	S9	WAIT	GPS_OFF
Limit	1	S2	NOT_WAIT	GPS_OFF
Long	2	S10	NOT_WAIT	ORIENTATION_PORTRAIT
Perfect	3	S5	NOT_WAIT	TAKE_A_PICTURE
Perfect	3	S9	WAIT	TAKE_A_PICTURE
Perfect	3	S4	WAIT	RECEIVE_CALL
Small	4	S8	NOT_WAIT	TAKE_A_PICTURE
Limit	1	S3	NOT_WAIT	INTERNET_OFF
Small	4	S5	WAIT	GPS_ON
Long	2	S8	WAIT	GPS_OFF
Long	2	S3	WAIT	TAKE_A_PICTURE
Perfect	3	S7	WAIT	ORIENTATION_PORTRAIT
Limit	1	S6	WAIT	GPS_CALIBRATED
Long	2	S12	NOT_WAIT	GPS_ON
Perfect	3	S2	NOT_WAIT	ORIENTATION_LANDSCAPE
Limit	1	S10	WAIT	GPS_OFF
Limit	1	S12	WAIT	RECEIVE_CALL
Perfect	3	S1	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S7	NOT_WAIT	RECEIVE_CALL
Long	2	S11	NOT_WAIT	INTERNET_ON
Small	4	S3	WAIT	SIMULATE_LONG_BACKGROUND
Small	4	S1	WAIT	ORIENTATION_LANDSCAPE
Long	2	S1	WAIT	GPS_OFF
Limit	1	S8	NOT_WAIT	RECEIVE_CALL
Long	2	S5	WAIT	INTERNET_OFF
Limit	1	S9	WAIT	INTERNET_ON
Small	4	S7	WAIT	INTERNET_OFF
Perfect	3	S1	NOT_WAIT	RECEIVE_CALL
Limit	1	S11	NOT_WAIT	TAKE_A_PICTURE
Small	4	S6	NOT_WAIT	INTERNET_ON
Small	4	S12	WAIT	SIMULATE_LONG_BACKGROUND
Long	2	S1	WAIT	GPS_NOT_CALIBRATED
Limit	1	S11	NOT_WAIT	RECEIVE_CALL
Long	2	S3	NOT_WAIT	GPS_CALIBRATED
Limit	1	S4	NOT_WAIT	ORIENTATION_LANDSCAPE
Small	4	S8	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Limit	1	S11	NOT_WAIT	GPS_ON
Perfect	3	S12	NOT_WAIT	TAKE_A_PICTURE
Perfect	3	S1	WAIT	INTERNET_OFF
Limit	1	S12	WAIT	ORIENTATION_PORTRAIT
Perfect	3	S3	WAIT	RECEIVE_CALL
Small	4	S10	NOT_WAIT	GPS_CALIBRATED
Small	4	S12	NOT_WAIT	INTERNET_OFF
Limit	1	S5	NOT_WAIT	RECEIVE_CALL
Long	2	S5	NOT_WAIT	ORIENTATION_LANDSCAPE
Limit	1	S6	WAIT	TAKE_A_PICTURE
Limit	1	S10	NOT_WAIT	TAKE_A_PICTURE
Small	4	S4	NOT_WAIT	INTERNET_ON
Limit	1	S10	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Perfect	3	S8	NOT_WAIT	INTERNET_ON
Long	2	S7	NOT_WAIT	SIMULATE_LONG_BACKGROUND
Long	2	S9	NOT_WAIT	RECEIVE_CALL
Small	4	S2	NOT_WAIT	INTERNET_ON
Limit	1	S10	NOT_WAIT	RECEIVE_CALL
Perfect	3	S4	WAIT	TAKE_A_PICTURE
Limit	1	S7	NOT_WAIT	GPS_NOT_CALIBRATED
Small	4	S6	WAIT	ORIENTATION_LANDSCAPE
Long	2	S4	NOT_WAIT	GPS_CALIBRATED
Long	2	S3	NOT_WAIT	ORIENTATION_LANDSCAPE
Long	2	S3	WAIT	GPS_OFF
Perfect	3	S12	NOT_WAIT	GPS_ON
Perfect	3	S5	WAIT	SIMULATE_LONG_BACKGROUND
