Path	Speed	Setup	First_Delay	First_Event	Second_Delay	Second_Event	Third_Delay	Third_Event
Limit	1	S3	WAIT	GPS_OFF	NOT_WAIT	SIMULATE_LONG_BACKGROUND	WAIT	TAKE_A_PICTURE
Long	2	S4	NOT_WAIT	INTERNET_ON	WAIT	INTERNET_OFF	NOT_WAIT	GPS_CALIBRATED
Perfect	3	S12	WAIT	GPS_ON	NOT_WAIT	GPS_CALIBRATED	NOT_WAIT	GPS_OFF
Small	4	S7	NOT_WAIT	ORIENTATION_PORTRAIT	WAIT	ORIENTATION_LANDSCAPE	WAIT	GPS_NOT_CALIBRATED
Limit	1	S5	NOT_WAIT	GPS_ON	WAIT	GPS_OFF	NOT_WAIT	TAKE_A_PICTURE
Small	4	S4	WAIT	ORIENTATION_LANDSCAPE	NOT_WAIT	RECEIVE_CALL	WAIT	ORIENTATION_PORTRAIT
Long	2	S2	NOT_WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	TAKE_A_PICTURE	NOT_WAIT	GPS_NOT_CALIBRATED
Perfect	3	S9	WAIT	TAKE_A_PICTURE	NOT_WAIT	INTERNET_ON	WAIT	GPS_CALIBRATED
Small	4	S9	NOT_WAIT	GPS_CALIBRATED	WAIT	ORIENTATION_PORTRAIT	NOT_WAIT	RECEIVE_CALL
Perfect	3	S4	WAIT	SIMULATE_LONG_BACKGROUND	WAIT	RECEIVE_CALL	WAIT	ACCEPT_CALL
Long	2	S7	WAIT	RECEIVE_CALL	NOT_WAIT	GPS_NOT_CALIBRATED	NOT_WAIT	ORIENTATION_PORTRAIT
Perfect	3	S1	NOT_WAIT	GPS_OFF	WAIT	GPS_ON	WAIT	TAKE_A_PICTURE
Limit	1	S12	NOT_WAIT	RECEIVE_CALL	WAIT	INTERNET_OFF	WAIT	GPS_ON
Long	2	S12	NOT_WAIT	GPS_ON	NOT_WAIT	GPS_OFF	WAIT	ORIENTATION_PORTRAIT
Small	4	S11	NOT_WAIT	GPS_ON	WAIT	SIMULATE_LONG_BACKGROUND	NOT_WAIT	GPS_CALIBRATED
